imm_id	mitocore_id	subsystem	ec-code
2OXOADOXm	GCCcm	Lysine Metabolism	1.8.1.4
34DHALDD	r0464c_MitoCore	Tyrosine metabolism	1.2.1.3
34DHALDD	ABUTD	Tyrosine metabolism	1.2.1.3
34DHALDD	NABTNOm	Tyrosine metabolism	1.2.1.3
34DHALDD	ALDD2xm	Tyrosine metabolism	1.2.1.3
34DHALDD	ALDD2x	Tyrosine metabolism	1.2.1.3
34HPPOR	34HPPOR	Tyrosine metabolism	1.13.11.27
3HAO	3HAO	Tryptophan metabolism	1.13.11.6
3HXKYNOXDA	APRTO2m_MitoCore	Tryptophan metabolism	1.4.3.4
3HXKYNOXDA	AACTOORm_MitoCore	Tryptophan metabolism	1.4.3.4
3MOXTYROX	APRTO2m_MitoCore	Tyrosine metabolism	1.4.3.4
3MOXTYROX	AACTOORm_MitoCore	Tyrosine metabolism	1.4.3.4
3SALATAi	ASPTA	Cysteine Metabolism	2.6.1.1
3SALATAi	ASPTAm	Cysteine Metabolism	2.6.1.1
3SALATAi	3SALATAi	Cysteine Metabolism	2.6.1.1
3SALATAi	CYSTA	Cysteine Metabolism	2.6.1.1
3SALATAi	CYSTAm	Cysteine Metabolism	2.6.1.1
3SALATAim	ASPTA	Cysteine Metabolism	2.6.1.1
3SALATAim	ASPTAm	Cysteine Metabolism	2.6.1.1
3SALATAim	3SALATAi	Cysteine Metabolism	2.6.1.1
3SALATAim	CYSTA	Cysteine Metabolism	2.6.1.1
3SALATAim	CYSTAm	Cysteine Metabolism	2.6.1.1
41R1H2MAE12BOOX	APRTO2m_MitoCore	Tyrosine metabolism	1.4.3.4
41R1H2MAE12BOOX	AACTOORm_MitoCore	Tyrosine metabolism	1.4.3.4
41R2A1H12BOOX	APRTO2m_MitoCore	Tyrosine metabolism	1.4.3.4
41R2A1H12BOOX	AACTOORm_MitoCore	Tyrosine metabolism	1.4.3.4
42A12BOOX	APRTO2m_MitoCore	Tyrosine metabolism	1.4.3.4
42A12BOOX	AACTOORm_MitoCore	Tyrosine metabolism	1.4.3.4
4HGLSDm	r0074	Arginine and Proline Metabolism	1.2.1.88
5HOXINDACTOX	r0464c_MitoCore	Tryptophan metabolism	1.2.1.3
5HOXINDACTOX	ABUTD	Tryptophan metabolism	1.2.1.3
5HOXINDACTOX	NABTNOm	Tryptophan metabolism	1.2.1.3
5HOXINDACTOX	ALDD2xm	Tryptophan metabolism	1.2.1.3
5HOXINDACTOX	ALDD2x	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	r0464c_MitoCore	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	ABUTD	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	NABTNOm	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	ALDD2xm	Tryptophan metabolism	1.2.1.3
5HOXINDACTOXm	ALDD2x	Tryptophan metabolism	1.2.1.3
5HOXINOXDA	PTRCOX1	Tryptophan metabolism	1.4.3.22
